index,latitude,longitude,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,Prec_pre_30,Prec_pre_15,Prec_pre_7,remoteness,catastrophic,month_sin,month_cos,Vegetation_0,Vegetation_4,Vegetation_9,Vegetation_12,Vegetation_14,Vegetation_15,Vegetation_16,Vegetation
0,18.105072,-66.75304399999999,24.48097412,24.71692308,24.9025974,4.341807043999999,3.492857143,3.262091503,78.21658986,76.79375,76.38157895,0.0,0.0,0.0,0.0179233876865947,1,0.8660254037844386,0.5000000000000001,False,False,False,True,False,False,False,12
1,35.03832998,-87.60999999,7.553433476,7.01,0.343529412,2.709763948,2.881707317,1.976470588,70.84,65.85891089,55.50588235,59.8,8.4,0.0,0.1843549518587874,0,-2.4492935982947064e-16,1.0,False,False,False,False,False,True,False,15
2,34.9478,-88.7225,4.971929825,5.7827659570000005,5.55875,3.3644994839999995,2.923829787,2.695833333,75.53162853,75.86861314,76.81283422,168.8,42.2,18.1,0.1945435134724886,1,0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,True,16
3,39.6414,-119.3083,16.27596717,18.99618138,18.1425641,4.054982415,3.398329356,3.671282051,44.77842907,37.14081146,35.35384615,10.4,7.2,0.0,0.4874474548506364,0,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
4,31.31697802,-83.39364888,14.87734096,16.40932642,17.17531915,2.000214439,1.7272020730000002,1.59069589,79.89667897,73.43181818,70.199387785,26.0,0.0,0.0,0.1489038254041168,0,0.49999999999999994,0.8660254037844387,False,False,False,True,False,False,False,12
5,30.90472001,-93.55749999,16.8519389,16.99778271,20.43478261,1.331257344,1.4729490019999998,1.424782609,72.89947781,75.06138107,77.92462312,28.4,27.5,1.2,0.2418935054935229,0,-0.5000000000000004,0.8660254037844384,False,False,False,True,False,False,False,12
6,35.90031,-92.06118,26.65524061,27.26486989,28.96806387,1.768073879,1.705297398,1.827944112,68.31902246,67.57541899,65.07784431,6.6,3.3,0.0,0.2246294059698352,0,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
7,48.8394,-99.7185,4.600950119,6.861878452999999,6.053333332999999,6.380760095,6.334254144,6.645333333,64.60650888,55.94303797,54.33783784,12.3,1.8,0.0,0.2916826266795891,0,0.8660254037844387,-0.49999999999999983,False,False,False,False,False,True,False,15
8,30.84533929,-83.12798679,8.410982659,9.007192575,8.209,1.98867052,1.745011601,2.2245,71.26086957,69.28103044,64.7979798,76.3,26.2,8.4,0.1468883522426762,0,1.0,6.123233995736766e-17,False,False,False,True,False,False,False,12
10,31.76738,-93.14687,26.38449292,26.0681672,26.51904762,1.771639151,1.629742765,2.019047619,79.940012,79.94212219,67.63095238,62.8,4.3,0.0,0.2374312087213936,0,-0.4999999999999998,-0.8660254037844388,False,False,False,True,False,False,False,12
11,33.98860931,-103.1352768,3.523045267,2.536363636,8.913095238,6.245931034,6.014404432,5.798795181,38.71270718,45.1800554,40.493975899999995,10.0,8.0,0.0,0.3303233823206644,0,0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,True,16
13,35.738479999999996,-79.49695,2.207439024,2.713567839,2.7745562130000003,2.96809816,3.186934673,3.50591716,51.06973684,46.70879121,48.40236686,49.0,39.9,0.0,0.1113427085420808,0,0.8660254037844386,0.5000000000000001,False,False,False,False,False,True,False,15
14,33.779575,-96.025915,9.156936011,6.582005623,6.558044807000001,4.251751518,4.165323336,5.0250509160000005,62.30432645,60.11688312,53.78222222,0.0,0.0,0.0,0.2628850259367814,0,-2.4492935982947064e-16,1.0,False,False,False,False,False,False,True,16
